cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
1195000,audi,q3,2013,92000,внедорожник 5 дв.,серый,2.0,170,Бензин,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1999999,audi,a6,2014,135000,седан,чёрный,3.0,333,Бензин,роботизированная,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2300000,audi,q5,2016,64592,внедорожник 5 дв.,чёрный,2.0,230,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
165000,audi,a4,1997,400000,седан,синий,1.6,101,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
550000,audi,a6,2006,233000,седан,серый,3.1,249,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
120000,audi,200,1982,229000,седан,синий,2.1,170,"Бензин,газобаллонноеоборудование",механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
2490000,audi,a7,2015,66000,лифтбек,серый,2.8,220,Бензин,роботизированная,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
573000,audi,a8,2006,260000,седан,чёрный,3.1,260,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
420000,audi,tt,2006,210000,купе,чёрный,3.2,250,Бензин,роботизированная,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
870000,audi,a6,2009,172650,седан,чёрный,2.8,220,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
430000,audi,a4,2005,168000,седан,белый,2.0,130,Бензин,вариатор,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1865000,audi,a6,2016,149500,седан,чёрный,2.0,249,Бензин,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
