cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
1679000,bmw,7er,2013,121365,седан,чёрный,3.0,320,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
860000,bmw,3er,2010,142830,седан,белый,2.0,136,Бензин,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
3970000,bmw,7er,2018,52500,седан,чёрный,3.0,249,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
290000,bmw,7er,2000,201500,седан,чёрный,2.8,193,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
257000,bmw,5er,1998,400000,седан,зелёный,2.5,170,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
720000,bmw,x5,2003,233000,внедорожник 5 дв.,чёрный,3.0,231,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
11499000,bmw,x6_m,2020,19100,внедорожник 5 дв.,фиолетовый,4.4,625,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1500000,bmw,3er,2003,50000,купе,серый,2.5,192,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2150000,bmw,6er,2012,82000,купе,чёрный,4.4,450,Бензин,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен
5750000,bmw,x5,2020,24589,внедорожник 5 дв.,белый,3.0,340,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
537000,bmw,3er,2001,377000,универсал 5 дв.,белый,2.0,136,Дизель,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2220000,bmw,i3,2018,53000,хэтчбек 5 дв.,белый,0.7,170,Гибрид,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2815000,bmw,x4,2017,66412,внедорожник 5 дв.,красный,2.0,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2149000,bmw,2er,2016,96294,купе,серый,3.0,326,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
3097000,bmw,m2,2016,82100,купе,синий,3.0,370,Бензин,роботизированная,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
7575000,bmw,x5,2020,41000,внедорожник 5 дв.,чёрный,3.0,340,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2874000,bmw,3er,2019,30650,седан,оранжевый,2.0,190,Дизель,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
