cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
988000,honda,cr_v,2008,143000,внедорожник 5 дв.,чёрный,2.0,150,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1655000,honda,civic,2018,49800,хэтчбек 5 дв.,чёрный,1.5,182,Бензин,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
650000,honda,accord,2005,182500,седан,серый,2.4,190,Бензин,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
591000,honda,accord,2007,280356,седан,серый,2.4,190,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1750000,honda,civic,2018,79000,седан,белый,1.5,182,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
310000,honda,cr_v,1997,223427,внедорожник 5 дв.,оранжевый,2.0,128,Бензин,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2385000,honda,odyssey_na,2018,29800,минивэн,серый,3.5,280,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
835000,honda,accord,2008,178000,седан,чёрный,2.4,201,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
520000,honda,civic,2008,148000,хэтчбек 5 дв.,серый,1.8,140,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
200000,honda,logo,1999,230000,хэтчбек 5 дв.,белый,1.3,91,Бензин,механическая,передний,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен
285000,honda,cr_v,1996,300000,внедорожник 5 дв.,зелёный,2.0,128,Бензин,автоматическая,передний,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1700000,honda,accord,2018,59000,седан,чёрный,1.5,192,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1500000,honda,odyssey,2017,12412,минивэн,чёрный,2.4,175,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1495000,honda,stepwagon,2015,138000,минивэн,серый,1.5,150,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1520000,honda,odyssey,2018,12412,минивэн,чёрный,2.4,175,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1400000,honda,cr_v,2011,134400,внедорожник 5 дв.,белый,2.4,166,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен
600000,honda,n_box,2013,98920,хэтчбек 5 дв.,бежевый,0.7,64,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2750000,honda,cr_v,2017,65000,внедорожник 5 дв.,белый,2.4,186,Бензин,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1470000,honda,odyssey,2018,12411,минивэн,белый,2.4,190,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1390000,honda,cr_v,2012,145482,внедорожник 5 дв.,серый,2.0,150,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1490000,honda,odyssey,2018,12411,минивэн,чёрный,2.4,190,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
3100000,honda,pilot,2017,99430,внедорожник 5 дв.,чёрный,3.0,249,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1700000,honda,cr_v,2015,214343,внедорожник 5 дв.,белый,2.4,188,Бензин,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2025000,honda,pilot,2014,136500,внедорожник 5 дв.,чёрный,3.5,249,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1850000,honda,civic,2018,29000,седан,красный,1.5,182,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2373816,honda,odyssey_na,2018,66000,минивэн,коричневый,3.5,280,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
345000,honda,fit,2010,2567,хэтчбек 5 дв.,серый,1.3,100,Бензин,вариатор,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
1800000,honda,cr_v,2014,170000,внедорожник 5 дв.,белый,2.4,190,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1480000,honda,odyssey,2017,12412,минивэн,серебристый,2.4,175,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2399000,honda,cr_v,2018,36500,внедорожник 5 дв.,чёрный,2.0,150,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1520000,honda,odyssey,2017,12411,минивэн,серый,2.4,175,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1480000,honda,odyssey,2018,4211,минивэн,чёрный,2.4,175,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1350000,honda,accord,2013,169000,седан,чёрный,2.4,180,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
368000,honda,jazz,2002,182000,хэтчбек 5 дв.,жёлтый,1.2,78,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
549999,honda,acty,2017,96577,микровэн,серебристый,0.7,46,Бензин,автоматическая,задний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1190000,honda,accord,2012,98000,седан,серый,2.4,200,Бензин,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1469000,honda,accord,2013,153000,седан,чёрный,2.4,180,Бензин,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1299000,honda,cr_v,2012,151439,внедорожник 5 дв.,чёрный,2.0,150,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
