cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
430000,mitsubishi,lancer,2007,137000,седан,чёрный,2.0,135,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1510000,mitsubishi,l200,2015,200000,пикап двойная кабина,серебристый,2.4,154,Дизель,механическая,полный,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен
219000,mitsubishi,fto,1997,320000,купе,серебристый,2.0,200,Бензин,автоматическая,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
565000,mitsubishi,outlander,2006,340000,внедорожник 5 дв.,серебристый,2.4,160,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
385000,mitsubishi,outlander,2006,167588,внедорожник 5 дв.,серый,2.0,136,"Бензин,газобаллонноеоборудование",механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2895000,mitsubishi,pajero,2018,47000,внедорожник 5 дв.,коричневый,3.0,174,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
387000,mitsubishi,colt,2006,106593,хэтчбек 5 дв.,голубой,1.3,95,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
929000,mitsubishi,l200,2010,179309,пикап двойная кабина,серебристый,2.5,136,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
850000,mitsubishi,outlander,2007,245000,внедорожник 5 дв.,серый,3.0,220,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
199000,mitsubishi,galant,2000,229316,седан,золотистый,2.4,150,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
629000,mitsubishi,pajero,2005,106500,внедорожник 3 дв.,серебристый,3.2,160,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
909000,mitsubishi,asx,2012,110000,внедорожник 5 дв.,чёрный,1.8,140,Бензин,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
869000,mitsubishi,pajero,2006,152000,внедорожник 5 дв.,чёрный,3.8,250,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
699000,mitsubishi,outlander,2008,224000,внедорожник 5 дв.,чёрный,2.4,170,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
589000,mitsubishi,lancer,2008,136000,хэтчбек 5 дв.,красный,1.8,143,Бензин,вариатор,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
775000,mitsubishi,outlander,2007,176000,внедорожник 5 дв.,чёрный,2.4,170,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1979000,mitsubishi,eclipse_cross,2019,11493,внедорожник 5 дв.,серебристый,1.5,150,Бензин,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1799000,mitsubishi,pajero,2014,128323,внедорожник 5 дв.,серебристый,3.0,178,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
660000,mitsubishi,outlander,2006,186000,внедорожник 5 дв.,серебристый,2.4,160,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1763000,mitsubishi,pajero,2014,106657,внедорожник 5 дв.,серебристый,3.0,178,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
998000,mitsubishi,outlander,2011,182112,внедорожник 5 дв.,серебристый,3.0,223,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1099000,mitsubishi,outlander,2012,176486,внедорожник 5 дв.,чёрный,2.0,146,Бензин,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
825000,mitsubishi,outlander,2010,143500,внедорожник 5 дв.,белый,2.0,147,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1280000,mitsubishi,outlander,2014,25324,внедорожник 5 дв.,серебристый,2.0,146,Бензин,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1015000,mitsubishi,pajero_sport,2011,142544,внедорожник 5 дв.,чёрный,3.0,220,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
849000,mitsubishi,outlander,2009,160000,внедорожник 5 дв.,серебристый,2.0,147,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
850000,mitsubishi,outlander,2008,166500,внедорожник 5 дв.,серый,2.4,170,Бензин,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1825000,mitsubishi,outlander,2017,82273,внедорожник 5 дв.,белый,2.0,146,Бензин,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
