cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
350000,nissan,datsun,1996,224000,пикап двойная кабина,синий,2.7,100,Дизель,механическая,полный,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
1749000,nissan,patrol,2010,83262,внедорожник 5 дв.,чёрный,5.6,405,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1050000,nissan,x_trail,2013,161554,внедорожник 5 дв.,чёрный,2.0,141,Бензин,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
675000,nissan,qashqai,2011,253157,внедорожник 5 дв.,чёрный,1.6,114,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
795000,nissan,x_trail,2010,140000,внедорожник 5 дв.,чёрный,2.5,169,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
775000,nissan,juke,2011,95292,внедорожник 5 дв.,красный,1.6,117,Бензин,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
820000,nissan,qashqai,2012,128600,внедорожник 5 дв.,серый,1.6,114,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
835000,nissan,terrano,2015,147000,внедорожник 5 дв.,чёрный,2.0,135,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
760000,nissan,x_trail,2008,125000,внедорожник 5 дв.,чёрный,2.5,169,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
930000,nissan,teana,2012,135255,седан,чёрный,2.5,182,Бензин,вариатор,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
875000,nissan,qashqai,2012,160000,внедорожник 5 дв.,чёрный,1.6,117,Бензин,вариатор,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
720000,nissan,x_trail,2008,114000,внедорожник 5 дв.,серый,2.5,169,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
680000,nissan,almera,2017,77635,седан,белый,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
546000,nissan,almera,2014,110000,седан,чёрный,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
775000,nissan,teana,2010,145000,седан,чёрный,2.5,182,Бензин,вариатор,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
350000,nissan,almera_classic,2007,142030,седан,чёрный,1.6,107,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
490000,nissan,murano,2006,231000,внедорожник 5 дв.,синий,3.5,234,Бензин,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
899000,nissan,murano,2010,189000,внедорожник 5 дв.,чёрный,3.5,249,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
892000,nissan,teana,2012,156840,седан,чёрный,2.5,182,Бензин,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
920000,nissan,juke,2014,134750,внедорожник 5 дв.,белый,1.6,117,Бензин,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
890000,nissan,x_trail,2007,165000,внедорожник 5 дв.,золотистый,2.5,169,Бензин,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
