cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
25200000,audi,920,1938,10000,седан,чёрный,3.3,75,Бензин,механическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
4444444,bmw,m1,2011,58950,купе,белый,3.0,340,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2500000,bmw,z1,1990,190000,родстер,чёрный,2.5,170,Бензин,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
3500000,bmw,02,1971,22368,седан 2 дв.,голубой,1.6,105,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
400000,bmw,340,1949,275000,седан,чёрный,2.0,51,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
500000,bmw,340,1951,20000,седан,чёрный,2.0,51,Бензин,механическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
12000000,bmw,340,1950,44567,седан,чёрный,2.0,51,Бензин,механическая,задний,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен
900000,bmw,340,1952,30000,седан,красный,2.0,51,Бензин,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1900000,bmw,340,1950,58000,седан,красный,2.0,51,Бензин,механическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1700000,bmw,340,1953,88000,седан,чёрный,2.0,51,Бензин,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2500000,bmw,z3m,2000,69000,родстер,красный,3.2,321,Бензин,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
3000000,bmw,326,1942,999000,седан,бежевый,2.0,51,Бензин,механическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
260000,nissan,quest,1996,320000,минивэн,зелёный,3.0,151,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1850000,nissan,quest,2012,60000,минивэн,белый,3.5,260,Бензин,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
800000,nissan,fairlady_z,1990,7777,купе,белый,3.0,280,Бензин,механическая,задний,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1000000,nissan,fairlady_z,2002,107000,купе,оранжевый,3.5,280,Бензин,механическая,задний,Правый,Не требует ремонта,3 или более,Дубликат,Растаможен
1350000,nissan,fairlady_z,1996,130000,родстер,серебристый,3.0,230,Бензин,автоматическая,задний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
1999999,nissan,fairlady_z,2004,185000,купе,жёлтый,3.5,280,Бензин,автоматическая,задний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
1200000,nissan,fairlady_z,2002,150000,купе,серый,3.5,280,Бензин,механическая,задний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
1180000,nissan,350z,2003,250000,купе,чёрный,3.5,280,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1205000,nissan,350z,2002,170000,купе,чёрный,3.5,280,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
880000,nissan,350z,2007,137000,купе,голубой,3.5,313,Бензин,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1500000,nissan,350z,2007,70000,купе,красный,3.5,313,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1340000,nissan,350z,2005,89000,купе,серый,3.5,280,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
