cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
1530000,skoda,octavia,2018,101000,лифтбек,синий,1.4,150,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2800000,skoda,octavia,2021,2800,лифтбек,зелёный,1.4,150,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
435000,skoda,octavia,2008,248241,лифтбек,серебристый,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
390000,skoda,octavia,2008,180000,лифтбек,чёрный,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
650000,skoda,octavia,2010,151204,лифтбек,серый,1.8,152,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
65000,skoda,felicia,1997,250000,универсал 5 дв.,красный,1.3,54,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
770000,skoda,octavia,2012,140000,универсал 5 дв.,серебристый,1.8,152,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
820000,skoda,superb,2012,132000,лифтбек,белый,1.8,152,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
690000,skoda,superb,2011,210000,лифтбек,чёрный,1.8,152,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
410000,skoda,rapid,2015,250000,лифтбек,белый,1.2,75,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1050000,skoda,octavia,2014,282000,универсал 5 дв.,белый,1.8,180,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
610000,skoda,octavia,2011,135000,лифтбек,серебристый,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
599000,skoda,rapid,2014,167300,лифтбек,белый,1.6,105,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
690000,skoda,rapid,2014,145000,лифтбек,серебристый,1.4,122,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
650000,skoda,superb,2010,238000,лифтбек,чёрный,1.8,152,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
965000,skoda,octavia_rs,2012,233000,лифтбек,зелёный,2.0,200,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
980000,skoda,rapid,2019,26000,лифтбек,белый,1.6,110,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
925000,skoda,octavia,2014,126000,лифтбек,белый,1.8,180,Бензин,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
560000,skoda,yeti,2011,225000,внедорожник 5 дв.,белый,1.2,105,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
915000,skoda,rapid,2017,39000,лифтбек,белый,1.6,90,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
449000,skoda,octavia,2011,317546,лифтбек,белый,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
280000,skoda,fabia,2010,142000,хэтчбек 5 дв.,белый,1.2,60,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
357000,skoda,fabia,2010,103000,хэтчбек 5 дв.,белый,1.2,60,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен
550000,skoda,rapid,2015,158185,лифтбек,жёлтый,1.6,110,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1430000,skoda,octavia,2018,133500,лифтбек,белый,1.8,180,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
660000,skoda,octavia,2011,249000,лифтбек,серый,1.4,122,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
635000,skoda,octavia,2012,108000,лифтбек,серебристый,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
690000,skoda,octavia,2013,145000,универсал 5 дв.,серебристый,1.6,102,Бензин,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
620000,skoda,yeti,2011,210000,внедорожник 5 дв.,белый,1.2,105,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
665000,skoda,octavia,2012,111000,лифтбек,серый,1.8,152,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1430000,skoda,rapid,2021,3500,лифтбек,серый,1.6,110,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
380000,skoda,octavia,2008,232000,лифтбек,серый,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
708000,skoda,octavia,2013,101800,лифтбек,серебристый,1.2,105,Бензин,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
815000,skoda,yeti,2012,180000,внедорожник 5 дв.,белый,1.2,105,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1030000,skoda,superb,2014,117000,лифтбек,коричневый,1.8,152,Бензин,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1250000,skoda,rapid,2020,18000,лифтбек,серый,1.6,90,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
735000,skoda,superb,2010,245000,лифтбек,серебристый,3.6,260,Бензин,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1450000,skoda,superb,2012,119730,универсал 5 дв.,пурпурный,2.0,140,Дизель,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
510000,skoda,fabia,2013,125000,универсал 5 дв.,серебристый,1.2,70,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
795000,skoda,yeti,2012,69000,внедорожник 5 дв.,серый,1.2,105,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
599000,skoda,rapid,2014,167300,лифтбек,белый,1.6,105,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
399000,skoda,fabia,2012,90000,хэтчбек 5 дв.,зелёный,1.4,86,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1389000,skoda,octavia,2020,30137,лифтбек,белый,1.6,110,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
375000,skoda,octavia,2008,106613,лифтбек,чёрный,1.4,75,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
820000,skoda,superb,2012,132000,лифтбек,белый,1.8,152,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
635000,skoda,octavia,2012,108000,лифтбек,серебристый,1.6,102,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
549000,skoda,octavia,2008,120063,лифтбек,чёрный,1.4,75,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
690000,skoda,superb,2011,210000,лифтбек,чёрный,1.8,152,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
950000,skoda,rapid,2017,120000,лифтбек,белый,1.6,110,Бензин,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1550000,skoda,octavia,2019,65000,лифтбек,белый,1.4,150,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
2049000,skoda,superb,2019,16374,лифтбек,белый,1.4,150,Бензин,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
500000,skoda,fabia,2010,95036,универсал 5 дв.,белый,1.4,86,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
348000,skoda,fabia,2002,86500,седан,серый,1.4,68,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
3143000,skoda,kodiaq,2021,11622,внедорожник 5 дв.,коричневый,2.0,150,Дизель,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
859000,skoda,rapid,2016,114996,лифтбек,синий,1.6,90,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
