cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
4150000,toyota,fj_cruiser,2017,80100,внедорожник 5 дв.,белый,4.0,276,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
851500,toyota,aqua,2013,141000,хэтчбек 5 дв.,белый,1.5,74,Гибрид,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
3500000,toyota,tundra,2014,100000,пикап двойная кабина,серебристый,4.6,310,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
565000,toyota,highlander,2002,277125,внедорожник 5 дв.,золотистый,3.0,223,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
710000,toyota,ipsum,2004,269491,компактвэн,белый,2.4,160,Бензин,автоматическая,полный,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
599000,toyota,camry,2006,363545,седан,серебристый,2.4,167,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
700000,toyota,kluger,2001,314925,внедорожник 5 дв.,белый,2.4,160,Бензин,автоматическая,полный,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
549000,toyota,corolla,2007,182000,седан,серый,1.6,124,Бензин,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
520000,toyota,rav_4,2002,291040,внедорожник 5 дв.,серебристый,2.0,150,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1077000,toyota,avensis,2012,54137,седан,серебристый,1.8,147,Бензин,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1155000,toyota,rav_4,2012,161000,внедорожник 5 дв.,чёрный,2.4,170,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
449000,toyota,ipsum,1997,423268,компактвэн,серый,2.0,135,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
470000,toyota,corolla,2006,176588,хэтчбек 5 дв.,чёрный,1.6,110,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
230000,toyota,vitz,2001,170122,хэтчбек 3 дв.,серый,1.0,70,Бензин,автоматическая,передний,Правый,Не требует ремонта,3 или более,Дубликат,Растаможен
619000,toyota,corolla,2009,155000,седан,серебристый,1.3,101,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1615000,toyota,camry,2016,125000,седан,чёрный,2.5,181,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
440000,toyota,yaris,2007,157600,хэтчбек 5 дв.,синий,1.3,87,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
5899261,toyota,land_cruiser,2021,33,пикап двойная кабина,бежевый,4.0,228,Бензин,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1650000,toyota,land_cruiser_prado,2008,197000,внедорожник 5 дв.,серебристый,4.0,249,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
3015000,toyota,camry,2021,12946,седан,красный,3.5,249,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
980000,toyota,voxy,2011,155979,минивэн,серебристый,2.0,158,Бензин,вариатор,передний,Правый,Не требует ремонта,1 владелец,Оригинал,Растаможен
5825666,toyota,land_cruiser,2021,24,внедорожник 5 дв.,бежевый,4.0,228,Бензин,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
3199000,toyota,camry,2021,32000,седан,чёрный,3.5,249,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1898000,toyota,highlander,2013,96725,внедорожник 5 дв.,чёрный,3.5,273,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
920000,toyota,voxy,2010,167601,минивэн,серый,2.0,158,Бензин,вариатор,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
1750000,toyota,corolla,2019,25700,седан,чёрный,1.6,122,Бензин,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
480000,toyota,celica,2002,265034,хэтчбек 3 дв.,чёрный,1.8,192,Бензин,механическая,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен
765000,toyota,rav_4,2001,120900,внедорожник 3 дв.,белый,2.0,150,Бензин,автоматическая,полный,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен
650000,toyota,supra,1993,140000,купе,красный,3.0,225,Бензин,механическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
850000,toyota,camry,2009,187700,седан,чёрный,2.5,179,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
1275000,toyota,sienna,2008,234500,минивэн,чёрный,3.5,269,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
649000,toyota,corolla,2008,197570,седан,серебристый,1.4,97,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2997000,toyota,land_cruiser_prado,2017,167239,внедорожник 5 дв.,чёрный,2.8,177,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Дубликат,Растаможен
200000,toyota,starlet,1998,260000,хэтчбек 5 дв.,пурпурный,1.3,75,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
810315,toyota,corolla,2012,202795,седан,серебристый,1.6,124,Бензин,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
739000,toyota,avensis,2009,255166,седан,серый,1.8,147,Бензин,вариатор,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
