cost,brand,model_name,modelDate,mileage,bodyType,color,engineDisplacement,enginePower,fuelType,vehicleTransmission,drive,wheel,state,ownersCount,pts,customs
3200000,volvo,xc90,2015,125000,внедорожник 5 дв.,золотистый,2.0,225,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1643000,volvo,xc70,2013,248552,универсал 5 дв.,бежевый,2.4,163,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2399000,volvo,v90,2017,151000,универсал 5 дв.,коричневый,2.0,150,Дизель,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
945000,volvo,xc90,2008,210182,внедорожник 5 дв.,чёрный,3.2,238,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2250000,volvo,v60_cross_country,2018,78000,универсал 5 дв.,коричневый,2.0,150,Дизель,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
3189000,volvo,xc90,2015,76288,внедорожник 5 дв.,коричневый,2.0,225,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
350000,volvo,v50,2005,285000,универсал 5 дв.,синий,1.8,125,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2457831,volvo,xc90,2016,202500,внедорожник 5 дв.,синий,2.0,235,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2707000,volvo,v90_cross_country,2017,143219,универсал 5 дв.,голубой,2.0,249,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
2990000,volvo,xc90,2015,132587,внедорожник 5 дв.,белый,2.0,225,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
1259000,volvo,s60,2014,194000,седан,синий,2.0,180,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
3200000,volvo,xc90,2016,79497,внедорожник 5 дв.,синий,2.0,235,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1000000,volvo,xc70,2008,202000,универсал 5 дв.,синий,2.4,185,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1790000,volvo,xc60,2015,148000,внедорожник 5 дв.,красный,2.4,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
415000,volvo,s80,2004,200000,седан,чёрный,2.5,210,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
450000,volvo,s60,2007,310000,седан,серебристый,2.4,140,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
915000,volvo,xc90,2008,224000,внедорожник 5 дв.,чёрный,3.2,238,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
630000,volvo,xc90,2005,265000,внедорожник 5 дв.,чёрный,2.5,210,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
3680000,volvo,xc90,2018,91091,внедорожник 5 дв.,бежевый,2.0,235,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2890000,volvo,s90,2019,64459,седан,чёрный,2.0,190,Бензин,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
4135000,volvo,xc90,2019,100059,внедорожник 5 дв.,чёрный,2.0,235,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1300000,volvo,xc70,2014,266557,универсал 5 дв.,чёрный,2.4,181,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1185000,volvo,xc70,2011,138194,универсал 5 дв.,коричневый,2.4,163,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2909000,volvo,xc90,2017,216141,внедорожник 5 дв.,коричневый,2.0,235,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
1150000,volvo,xc90,2011,290000,внедорожник 5 дв.,чёрный,3.2,243,Бензин,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
585000,volvo,xc90,2004,194000,внедорожник 5 дв.,чёрный,2.5,210,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
949000,volvo,xc90,2008,175230,внедорожник 5 дв.,серый,2.4,185,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
135000,volvo,960,1993,388311,седан,серый,2.9,204,Бензин,автоматическая,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
555000,volvo,s60,2005,326000,седан,красный,2.4,170,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
2197000,volvo,xc60,2017,93500,внедорожник 5 дв.,чёрный,2.4,190,Дизель,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
600000,volvo,xc90,2005,210000,внедорожник 5 дв.,серый,2.5,210,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
190000,volvo,s70,1997,301000,седан,серый,2.5,140,Дизель,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
730000,volvo,xc90,2007,326902,внедорожник 5 дв.,серый,4.4,315,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1520000,volvo,xc60,2013,221000,внедорожник 5 дв.,белый,2.4,163,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
2870000,volvo,xc90,2018,166000,внедорожник 5 дв.,белый,2.0,190,Дизель,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
610000,volvo,c30,2008,210000,хэтчбек 3 дв.,синий,2.4,170,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
420000,volvo,s60,2004,300000,седан,серый,2.4,170,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1450000,volvo,s80,2012,93000,седан,чёрный,2.5,231,Бензин,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
740000,volvo,xc90,2006,260248,внедорожник 5 дв.,пурпурный,2.5,210,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
575000,volvo,s60,2007,180000,седан,красный,2.5,210,Бензин,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен
585000,volvo,xc90,2004,194000,внедорожник 5 дв.,чёрный,2.5,210,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
3680000,volvo,xc90,2018,91091,внедорожник 5 дв.,бежевый,2.0,235,Дизель,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен
330000,volvo,s60,2004,241000,седан,чёрный,2.4,170,Бензин,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен
1340000,volvo,xc60,2011,176759,внедорожник 5 дв.,белый,2.4,163,Дизель,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
915000,volvo,xc90,2008,224000,внедорожник 5 дв.,чёрный,3.2,238,Бензин,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
399999,volvo,s80,2005,200000,седан,чёрный,2.4,170,Бензин,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен
